id_nspn,date_homework,event,ppq_01_quality_time,ppq_02_attend_school,ppq_03_affection,ppq_04_get_me,ppq_05_comforted,ppq_06_angry_listen,ppq_07_praised,ppq_08_ideas_encouraged,ppq_09_priority,ppq_10_loved,ppq_11_listened_to,ppq_12_contact,ppq_13_home_safe,ppq_14_opinions_valued,ppq_15_talked_important,ppq_16_privacy_respected,ppq_17_friends_welcomed,ppq_18_clothes,ppq_19_pocket_money,ppq_20_ask,ppq_21_achieve,ppq_22_cared_unwell,ppq_23_skills,ppq_24_advice,ppq_25_learn_school,ppq_26_progress,ppq_positive_parenti_v_16
10215,06/08/2014,Home Questionnaire Pack 2,Sometimes,Rarely,Rarely,Always,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Mostly,Sometimes,Mostly,Mostly,Sometimes,Sometimes,Always,Sometimes,Mostly,Always,Mostly,Always,Mostly,Sometimes,Sometimes,Always,Mostly,Complete
10215,25/08/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10223,04/12/2012,Home Questionnaire Pack 1,Mostly,Always,Mostly,Mostly,Mostly,Sometimes,Sometimes,Mostly,Mostly,Mostly,Mostly,Always,Always,Sometimes,Sometimes,Mostly,Always,Mostly,Mostly,Mostly,Always,Always,Mostly,Mostly,Always,Always,Complete
10223,29/11/2014,Home Questionnaire Pack 2,Mostly,Always,Mostly,Always,Mostly,Sometimes,Sometimes,Mostly,Mostly,Always,Mostly,Always,Always,Sometimes,Mostly,Mostly,Always,Always,Mostly,Mostly,Always,Always,Mostly,Mostly,Always,Always,Complete
10249,06/12/2012,Home Questionnaire Pack 1,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10249,13/01/2014,Home Questionnaire Pack 2,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10249,13/08/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10265,25/01/2013,Home Questionnaire Pack 1,Mostly,Always,Rarely,Always,Sometimes,Sometimes,Always,Mostly,Mostly,Always,Sometimes,Always,Always,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10265,30/07/2014,Home Questionnaire Pack 2,Always,Always,Rarely,Always,Mostly,Mostly,Mostly,Mostly,Always,Always,Mostly,Always,Always,Mostly,Sometimes,Sometimes,Mostly,Always,Always,Always,Always,Mostly,Always,Always,Always,Always,Complete
10281,28/12/2012,Home Questionnaire Pack 1,Sometimes,Sometimes,Rarely,Always,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Mostly,Sometimes,Rarely,Sometimes,Rarely,Always,Mostly,Sometimes,Mostly,Mostly,Sometimes,Sometimes,Mostly,Sometimes,Complete
10281,21/08/2014,Home Questionnaire Pack 2,Mostly,Mostly,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10299,13/12/2012,Home Questionnaire Pack 1,Sometimes,Always,Mostly,Mostly,Rarely,Rarely,Sometimes,Rarely,Mostly,Mostly,Sometimes,Mostly,Always,Sometimes,Rarely,Sometimes,Always,Always,Always,Sometimes,Mostly,Always,Mostly,Sometimes,Always,Mostly,Complete
10299,09/12/2013,Home Questionnaire Pack 2,Mostly,Always,Sometimes,Mostly,Mostly,Mostly,Sometimes,Sometimes,Always,Always,Mostly,Always,Always,Mostly,Sometimes,Mostly,Always,Always,Always,Mostly,Mostly,Always,Mostly,Mostly,Mostly,Always,Complete
10299,14/06/2016,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10306,03/01/2013,Home Questionnaire Pack 1,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Always,Sometimes,Sometimes,Sometimes,Sometimes,Mostly,Mostly,Always,Mostly,Sometimes,Mostly,Rarely,Sometimes,Mostly,Always,Always,Mostly,Sometimes,Sometimes,Always,Always,Complete
10306,09/12/2013,Home Questionnaire Pack 2,Sometimes,Sometimes,Sometimes,Mostly,Mostly,Mostly,Mostly,Sometimes,Always,Always,Always,Sometimes,Always,Mostly,Sometimes,Mostly,Sometimes,Mostly,Mostly,Sometimes,Always,Always,Mostly,Mostly,Always,Always,Complete
10306,16/12/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10314,01/02/2013,Home Questionnaire Pack 1,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Mostly,Sometimes,Sometimes,Sometimes,Rarely,Mostly,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Complete
10314,11/02/2014,Home Questionnaire Pack 2,Sometimes,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10314,03/10/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10330,10/01/2013,Home Questionnaire Pack 1,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Always,Mostly,Always,Always,Always,Mostly,Always,Always,Mostly,Always,Mostly,Always,Always,Always,Always,Always,Rarely,Sometimes,Mostly,Always,Complete
10356,22/02/2013,Home Questionnaire Pack 1,Mostly,Mostly,Always,Always,Sometimes,Sometimes,Sometimes,Mostly,Always,Always,Mostly,Always,Always,Mostly,Sometimes,Sometimes,Sometimes,Mostly,Mostly,Mostly,Always,Always,Mostly,Mostly,Always,Always,Complete
